id,code_dx,name,psychiatry,vts,others
cie10_1,A000,"Colera debido a vibrio cholerae o1, biotipo cholerae",False,False,True
cie10_2,A001,"Colera debido a vibrio cholerae o1, biotipo el tor",False,False,True
cie10_3,A009,Colera no especificado,False,False,True
cie10_4,A010,Fiebre tifoidea,False,False,True
cie10_5,A011,Fiebre paratifoidea a,False,False,True
cie10_6,A012,Fiebre paratifoidea b,False,False,True
cie10_7,A013,Fiebre paratifoidea c,False,False,True
cie10_8,A014,"Fiebre paratifoidea, no especificada",False,False,True
cie10_9,A020,Enteritis debida a salmonella,False,False,True
cie10_10,A021,Septicemia debida a salmonella,False,False,True
cie10_11,A022,Infecciones localizadas debida a salmonella,False,False,True
cie10_12,A028,Otras infecciones especificadas como debidas a salmonella,False,False,True
cie10_13,A029,Infeccion debida a salmonella no especificada,False,False,True
cie10_14,A030,Shigelosis debida a shigella dysenteriae,False,False,True
cie10_15,A031,Shigelosis debida a shigella flexneri,False,False,True
cie10_16,A032,Shigelosis debida a shigella boydii,False,False,True
cie10_17,A033,Shigelosis debida a shigella sonnei,False,False,True
cie10_18,A038,Otras shigelosis,False,False,True
cie10_19,A039,Shigelosis de tipo no especificado,False,False,True
cie10_20,A040,Infeccion debida a escherichia coli enteropatogena,False,False,True
cie10_21,A041,Infeccion debida a escherichia coli enterotoxigena,False,False,True
cie10_22,A042,Infeccion debida a escherichia coli enteroinvasiva,False,False,True
cie10_23,A043,Infeccion debida a escherichia coli enterohemorragica,False,False,True
cie10_24,A044,Otras infecciones intestinales debidas a escherichia coli,False,False,True
cie10_25,A045,Enteritis debida a campylobacter,False,False,True
cie10_26,A046,Enteritis debida a yersinia enterocolitica,False,False,True
cie10_27,A047,Enterocolitis debida a clostridium difficile,False,False,True
cie10_28,A048,Otras infecciones intestinales bacterianas especificadas,False,False,True
cie10_29,A049,"Infeccion intestinal bacteriana, no especificada",False,False,True
cie10_30,A050,Intoxicacion alimentaria estafilococica,False,False,True
cie10_31,A051,Botulismo,False,False,True
cie10_32,A052,Intoxicacion alimentaria debida a clostridium perfringens [clostridium welchii],False,False,True
cie10_33,A053,Intoxicacion alimentaria debida a vibrio parahaemolyticus,False,False,True
cie10_34,A054,Intoxicacion alimentaria debida a bacillus cereus,False,False,True
cie10_35,A058,Otras intoxicaciones alimentarias debidas a bacterias especificadas,False,False,True
cie10_36,A059,"Intoxicacion alimentaria bacteriana, no especificada",False,False,True
cie10_37,A060,Disenteria amebiana aguda,False,False,True
cie10_38,A061,Amebiasis intestinal cronica,False,False,True
cie10_39,A062,Colitis amebiana no disenterica,False,False,True
cie10_40,A063,Ameboma intestinal,False,False,True
cie10_41,A064,Absceso amebiano del higado,False,False,True
cie10_42,A065,Absceso amebiano del pulmon (j99.8),False,False,True
cie10_43,A066,Absceso amebiano del cerebro (g07),False,False,True
cie10_44,A067,Amebiasis cutanea,False,False,True
cie10_45,A068,Infeccion amebiana de otras localizaciones,False,False,True
cie10_46,A069,"Amebiasis, no especificada",False,False,True
cie10_47,A070,Balantidiasis,False,False,True
cie10_48,A071,Giardiasis [lambliasis],False,False,True
cie10_49,A072,Criptosporidiosis,False,False,True
cie10_50,A073,Isosporiasis,False,False,True
cie10_51,A078,Otras enfermedades intestinales especificadas debidas a protozoarios,False,False,True
cie10_52,A079,"Enfermedad intestinal debida a protozoarios, no especificada",False,False,True
cie10_53,A080,Enteritis debida a rotavirus,False,False,True
cie10_54,A081,Gastroenteropatia aguda debida al agente de norwalk,False,False,True
cie10_55,A082,Enteritis debida a adenovirus,False,False,True
cie10_56,A083,Otras enteritis virales,False,False,True
cie10_57,A084,"Infeccion intestinal viral, sin otra especificacion",False,False,True
cie10_58,A085,Otras infecciones intestinales especificadas,False,False,True
cie10_59,A150,"Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo",False,False,True
cie10_60,A151,"Tuberculosis del pulmon, confirmada unicamente por cultivo",False,False,True
cie10_61,A152,"Tuberculosis del pulmon, confirmada histologicamente",False,False,True
cie10_62,A153,"Tuberculosis del pulmon , confirmada por medios no especificados",False,False,True
cie10_63,A154,"Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente",False,False,True
cie10_64,A155,"Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente",False,False,True
cie10_65,A156,"Pleuresia tuberculosa, confirmada bacteriologica e histologicamente",False,False,True
