id,name,category,answer_scale,active
sq_1,Dolores de cabeza,Somatizaciones,G,True
sq_2,Nerviosismo.,Ansiedad,G,True
sq_3,Pensamientos desagradables que no se iban de mi cabeza.,Obsesiones y compulsiones,G,True
sq_4,Sensación de mareo o desmayo.,Somatizaciones,G,True
sq_5,Falta de interés en relaciones sexuales.,Depresión,G,True
sq_6,Criticar a los demás.,Sensitividad interpersonal,G,True
sq_7,Sentir que otro puede controlar mis pensamientos.,Psicoticismo,G,True
sq_8,Sentir que otros son culpables de lo que me pasa.,Ideación paranoide,G,True
sq_9,Tener dificultad para memorizar cosas.,Obsesiones y compulsiones,G,True
sq_10,Estar preocupado/a por mí falta de ganas para hacer algo.,Obsesiones y compulsiones,G,True
sq_11,"Sentirme enojado/a, malhumorado/a.",Hostilidad,G,True
sq_12,Dolores en el pecho.,Somatizaciones,G,True
sq_13,Miedo a los espacios abiertos o las calles.,Ansiedad fóbica,G,True
sq_14,Sentirme con muy pocas energías.,Depresión,G,True
sq_15,Pensar en quitarme la vida.,Depresión,G,True
sq_16,Escuchar voces que otras personas no oyen.,Psicoticismo,G,True
sq_17,Temblores en mi cuerpo.,Ansiedad,G,True
sq_18,Perder la confianza en la mayoría de las personas.,Ideación paranoide,G,True
sq_19,No tener ganas de comer.,Ítems adicionales,G,True
sq_20,Llorar por cualquier cosa.,Depresión,G,True
sq_21,Sentirme incómodo/a con personas del otro sexo.,Sensitividad interpersonal,G,True
sq_22,Sentirme atrapada/o o encerrado/a.,Depresión,G,True
sq_23,Asustarme de repente sin razón alguna.,Ansiedad,G,True
sq_24,Explotar y no poder controlarme.,Hostilidad,G,True
sq_25,Tener miedo a salir solo/a de mi casa.,Ansiedad fóbica,G,True
sq_26,Sentirme culpable por cosas que ocurren.,Depresión,G,True
sq_27,Dolores en la espalda.,Somatizaciones,G,True
sq_28,No poder terminar las cosas que empecé a hacer.,Obsesiones y compulsiones,G,True
sq_29,Sentirme solo/a.,Depresión,G,True
sq_30,Sentirme triste.,Depresión,G,True
